Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level
aeri,Aerie Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,A,High,B,Medium,BB,Medium,500.0,264.0,310.0,1074.0,BBB,High
aey,ADDvantage Technologies Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,BB,Medium,235.0,234.0,300.0,769.0,BB,Medium
afaq,AF Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,368.0,304.0,310.0,982.0,BBB,High
afcg,AFC Gamma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,255.0,204.0,226.0,685.0,B,Medium
afbi,Affinity Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200.0,207.0,200.0,607.0,B,Medium
afrm,Affirm Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,BB,Medium,225.0,335.0,335.0,895.0,BB,Medium
afib,Acutus Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,205.0,211.0,235.0,651.0,B,Medium
agen,Agenus Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,290.0,245.0,300.0,835.0,BB,Medium
afya,Afya Ltd,BRL,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,290.0,203.0,205.0,698.0,B,Medium
agfs,AgroFresh Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,A,High,BB,Medium,B,Medium,500.0,301.0,275.0,1076.0,BBB,High
agfy,Agrify Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,540.0,361.0,305.0,1206.0,A,High
agil,AgileThought Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,BB,Medium,340.0,299.0,305.0,944.0,BBB,High
agmh,AGM Group Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,205.0,204.0,210.0,619.0,B,Medium
agio,Agios Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,520.0,303.0,325.0,1148.0,BBB,High
agle,Aeglea Bio Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205.0,223.0,200.0,628.0,B,Medium
agnc,AGNC Investment Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,BB,Medium,B,Medium,BB,Medium,382.0,242.0,305.0,929.0,BBB,High
agri,AgriFORCE Growing Systems Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,B,Medium,BB,Medium,510.0,248.0,305.0,1063.0,BBB,High
agrx,Agile Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,240.0,203.0,260.0,703.0,B,Medium
agys,Agilysys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500.0,303.0,300.0,1103.0,BBB,High
agtc,Applied Genetic Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,235.0,323.0,305.0,863.0,BB,Medium
ahco,Adapthealth Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210.0,211.0,235.0,656.0,B,Medium
ahpi,Allied Healthcare Products Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,210.0,228.0,325.0,763.0,BB,Medium
aib,AIB Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,215.0,227.0,300.0,742.0,B,Medium
adtn,ADTRAN Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,A,High,BB,Medium,BB,Medium,510.0,308.0,300.0,1118.0,BBB,High
adn,Advent Technologies Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,250.0,203.0,220.0,673.0,B,Medium
aiki,Aikido Pharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200.0,235.0,205.0,640.0,B,Medium
akic,Sports Ventures Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,200.0,205.0,230.0,635.0,B,Medium
aip,Arteris Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,B,Medium,BB,Medium,500.0,286.0,300.0,1086.0,BBB,High
akro,Akero Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250.0,246.0,305.0,801.0,BB,Medium
airt,Air T Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,B,Medium,B,Medium,BB,Medium,234.0,210.0,325.0,769.0,BB,Medium
aimc,Altra Industrial Motion Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,525.0,315.0,305.0,1145.0,BBB,High
akba,Akebia Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200.0,218.0,215.0,633.0,B,Medium
airg,Airgain Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500.0,300.0,330.0,1130.0,BBB,High
airs,Airsculpt Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210.0,201.0,205.0,616.0,B,Medium
akam,Akamai Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,515.0,341.0,305.0,1161.0,BBB,High
aku,Akumin Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,BBB,High,BB,Medium,BB,Medium,455.0,347.0,300.0,1102.0,BBB,High
akus,Akouos Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205.0,221.0,295.0,721.0,B,Medium
akts,Akoustis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,BB,Medium,BBB,High,222.0,302.0,428.0,952.0,BBB,High
aktx,Akari Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,225.0,216.0,305.0,746.0,B,Medium
albo,Albireo Pharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,500.0,300.0,310.0,1110.0,BBB,High
akya,Akoya Biosciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,B,Medium,512.0,303.0,215.0,1030.0,BBB,High
alco,Alico Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High
aldx,Aldeyra Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,231.0,261.0,235.0,727.0,B,Medium
alec,Alector Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240.0,277.0,300.0,817.0,BB,Medium
algm,Allegro Microsystems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,542.0,314.0,250.0,1106.0,BBB,High
alf,Alfi Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,B,Medium,BB,Medium,225.0,260.0,315.0,800.0,BB,Medium
algn,Align Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,235.0,285.0,255.0,775.0,BB,Medium
algs,Aligos Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,210.0,222.0,235.0,667.0,B,Medium
alhc,Alignment Healthcare LLC,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,BB,Medium,B,Medium,210.0,302.0,256.0,768.0,BB,Medium
alks,Alkermes Plc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BBB,High,BB,Medium,BB,Medium,415.0,302.0,333.0,1050.0,BBB,High
alim,Alimera Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,220.0,228.0,243.0,691.0,B,Medium
algt,Allegiant Travel Co,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,287.0,208.0,248.0,743.0,B,Medium
aih,Aesthetic Medical International Holdings Group Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,220.0,250.0,300.0,770.0,BB,Medium
alkt,Alkami Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,BB,Medium,B,Medium,280.0,305.0,260.0,845.0,BB,Medium
alny,Alnylam Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,331.0,346.0,325.0,1002.0,BBB,High
allt,Allot Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,508.0,324.0,310.0,1142.0,BBB,High
allo,Allogene Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,535.0,324.0,305.0,1164.0,BBB,High
amat,Applied Materials Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,525.0,317.0,300.0,1142.0,BBB,High
amd,Advanced Micro Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,200.0,208.0,200.0,608.0,B,Medium
atvi,Activision Blizzard Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,280.0,347.0,330.0,957.0,BBB,High
avgo,Broadcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,B,Medium,210.0,212.0,200.0,622.0,B,Medium
anss,ANSYS Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,580.0,337.0,285.0,1202.0,A,High
amzn,Amazon.com Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,AA,Excellent,BB,Medium,BBB,High,668.0,305.0,460.0,1433.0,A,High
aihs,Senmiao Technology Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,220.0,203.0,200.0,623.0,B,Medium
apa,APA Corp (US),USD,NASDAQ NMS - GLOBAL MARKET,Energy,A,High,BB,Medium,BB,Medium,510.0,316.0,325.0,1151.0,BBB,High
biib,Biogen Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,BB,Medium,BB,Medium,380.0,303.0,364.0,1047.0,BBB,High
bkng,Booking Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,558.0,306.0,310.0,1174.0,BBB,High
cdns,Cadence Design Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500.0,308.0,295.0,1103.0,BBB,High
cdw,CDW Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,B,Medium,B,Medium,B,Medium,225.0,209.0,200.0,634.0,B,Medium
chrw,CH Robinson Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,BB,Medium,BB,Medium,575.0,330.0,338.0,1243.0,A,High
cinf,Cincinnati Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,B,Medium,235.0,275.0,250.0,760.0,BB,Medium
chtr,Charter Communications Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High
cmcsa,Comcast Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,507.0,343.0,315.0,1165.0,BBB,High
cprt,Copart Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,B,Medium,B,Medium,B,Medium,270.0,204.0,205.0,679.0,B,Medium
cost,Costco Wholesale Corp,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,B,Medium,537.0,306.0,225.0,1068.0,BBB,High
csx,CSX Corp,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,A,High,BB,Medium,BB,Medium,510.0,310.0,325.0,1145.0,BBB,High
ctsh,Cognizant Technology Solutions Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,AA,Excellent,BB,Medium,BB,Medium,605.0,365.0,300.0,1270.0,A,High
cme,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,BB,Medium,B,Medium,B,Medium,375.0,237.0,200.0,812.0,BB,Medium
csco,Cisco Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,B,Medium,B,Medium,B,Medium,280.0,234.0,220.0,734.0,B,Medium
ctas,Cintas Corp,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High
