Ticker,Company,Currency,Exchange,industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation,twitter_esg_sentiment,Sentiment Score,dominant_topic,topic_esg_impact,Date,avg_deforestation,avg_air_pollution,avg_water_quality_B3,avg_water_quality_B4,avg_water_quality_B5,environmental_deviation_score,avg_deforestation_normalized,avg_air_pollution_normalized,avg_water_quality_B3_normalized,avg_water_quality_B4_normalized,avg_water_quality_B5_normalized
dhi,D R Horton Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,B,Medium,B,Medium,B,Medium,250.0,271.0,205.0,726.0,B,Medium,242.0,High Risk,0.0963391136801541,0.2189349112426036,0.3249999999999999,0.1346153846153847,945.55,-219.54999999999995,0.5719,,,,,,,,,,,,,,,
dov,Dover Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,A,High,BB,Medium,BB,Medium,500.0,320.0,305.0,1125.0,BBB,High,375.0,Low Risk,0.5780346820809248,0.3155818540433925,0.5750000000000001,0.560897435897436,1048.047619047619,76.95238095238096,,,,,,,,,,,,,,,,
dri,Darden Restaurants Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,515.0,309.0,300.0,1124.0,BBB,High,374.6666666666667,Low Risk,0.6069364161849711,0.2938856015779093,0.5625,0.55982905982906,918.8636363636364,205.13636363636363,,,,,,,,,,,,,,,,
ce,Celanese Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,A,High,BB,Medium,BB,Medium,500.0,319.0,300.0,1119.0,BBB,High,373.0,Medium Risk,0.5780346820809248,0.3136094674556213,0.5625,0.5544871794871796,1058.8947368421052,60.1052631578948,,,,,,,,,,,,,,,,
dg,Dollar General Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,B,Medium,B,Medium,B,Medium,247.0,222.0,200.0,669.0,B,Medium,223.0,High Risk,0.0905587668593448,0.1222879684418146,0.3125,0.0737179487179487,918.5769230769232,-249.5769230769231,,,,,,,,,,,,,,,,
cmg,Chipotle Mexican Grill Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,210.0,241.0,213.0,664.0,B,Medium,221.33333333333337,High Risk,0.0192678227360308,0.1597633136094675,0.345,0.0683760683760683,918.8636363636364,-254.86363636363637,,,,,,,,,,,,,,,,
dgx,Quest Diagnostics Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,B,Medium,BB,Medium,B,Medium,230.0,300.0,205.0,735.0,B,Medium,245.0,High Risk,0.0578034682080924,0.2761341222879684,0.3249999999999999,0.1442307692307692,938.7647058823528,-203.76470588235293,0.54135,,,,,,,,,,,,,,,
ccl,Carnival Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,515.0,326.0,320.0,1161.0,BBB,High,387.0,Low Risk,0.6069364161849711,0.3274161735700198,0.6125,0.5993589743589743,918.8636363636364,242.13636363636363,,,,,,,,,,,,,,,,
chd,Church & Dwight Co Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,578.0,341.0,348.0,1267.0,A,High,422.3333333333333,Low Risk,0.7283236994219653,0.3570019723865877,0.6825,0.7126068376068376,945.55,321.45000000000005,0.5719,,,,,,,,,,,,,,,
dow,Dow Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,B,Medium,B,Medium,B,Medium,225.0,201.0,200.0,626.0,B,Medium,208.66666666666663,High Risk,0.048169556840077,0.0808678500986193,0.3125,0.0277777777777777,1058.8947368421052,-432.8947368421052,,,,,,,,,,,,,,,,
