Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation
adap,Adaptimmune Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,B,Medium,BB,Medium,365.0,283.0,305.0,953.0,BBB,High,317.6666666666667,Medium Risk,0.3179190751445086,0.24260355029585806,0.5750000000000001,0.37713675213675224,866.9107142857143,86.08928571428567
adma,ADMA Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240.0,264.0,320.0,824.0,BB,Medium,274.6666666666667,High Risk,0.0770712909441233,0.20512820512820512,0.6125,0.23931623931623935,866.9107142857143,-42.910714285714334
ades,Advanced Emissions Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,B,Medium,B,Medium,BB,Medium,205.0,201.0,300.0,706.0,B,Medium,235.33333333333334,High Risk,0.009633911368015391,0.08086785009861935,0.5625,0.11324786324786329,1058.8947368421052,-352.8947368421052
adi,Analog Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,BB,Medium,BB,Medium,350.0,318.0,300.0,968.0,BBB,High,322.6666666666667,Medium Risk,0.28901734104046245,0.3116370808678501,0.5625,0.3931623931623932,1030.5833333333333,-62.58333333333326
adil,Adial Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200.0,203.0,300.0,703.0,B,Medium,234.33333333333334,High Risk,0.0,0.08481262327416178,0.5625,0.1100427350427351,903.6666666666666,-200.66666666666663
admp,Adamis Pharmaceuticals Corp,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,285.0,204.0,215.0,704.0,B,Medium,234.66666666666666,High Risk,0.16377649325626203,0.08678500986193294,0.35,0.11111111111111116,903.6666666666666,-199.66666666666663
acer,Acer Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,223.0,291.0,310.0,824.0,BB,Medium,274.6666666666667,High Risk,0.044315992292870865,0.25838264299802766,0.5875,0.23931623931623935,903.6666666666666,-79.66666666666663
adoc,Edoc Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,BB,Medium,BB,Medium,215.0,301.0,300.0,816.0,BB,Medium,272.0,High Risk,0.02890173410404623,0.2781065088757397,0.5625,0.23076923076923084,709.3076923076923,106.69230769230774
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210.0,215.0,218.0,643.0,B,Medium,214.33333333333334,High Risk,0.019267822736030837,0.10848126232741617,0.35750000000000004,0.045940170940171,938.7647058823529,-295.7647058823529
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,1012.3703703703703,87.62962962962968
